,WAPE,MAPE,MAE,RMSE,Bias
Unknown,21.67019027484144,21.90427867796541,6.40625,8.131247598001183,4.34375
Kitchen,23.27002084866323,24.07565982547539,37.204656862745104,64.84508941249933,22.571078431372552
Lighting,23.73172550163701,33.47108810267967,28.049808429118777,44.532725421436396,6.46743295019157
Furniture,24.774875136931616,37.80591409732058,39.71279761904763,67.5032296405495,22.052083333333332
Bath,26.877047115142354,30.04408891439414,46.71897810218978,76.08243091274663,28.616788321167885
Rugs,26.877283575154703,28.68823910807736,56.18598233995584,86.00287992294484,35.52262693156733
Bedding,29.974137931034484,30.920133561879986,42.255208333333336,71.85802637744173,16.859375
Decor,33.80439291718522,48.71874189648383,55.4937275985663,89.09367050276867,31.796594982078854
Storage,36.98375669604285,40.07440639017914,61.791994750656166,120.9625643900398,24.78674540682415
